NodeID,IsSink,IsSource,QueryHits,ReceivedRequests,SentRequests,ForwardedQueryHits,TriedRequests,InitializedRequests
0,0,1,59,59,0,0,1,6
1,0,0,0,67,30,12,0,0
2,0,0,0,57,31,6,0,0
3,0,0,0,58,20,16,0,0
4,0,0,0,67,27,18,0,0
5,0,0,0,49,19,20,0,0
6,0,0,0,50,19,20,0,0
7,0,0,0,61,28,6,0,0
8,0,0,0,56,23,14,0,0
9,1,0,59,59,0,59,0,0
10,0,0,0,61,28,6,0,0
11,0,0,0,53,33,6,0,0
12,0,0,0,62,20,20,0,0
13,0,0,0,68,27,7,0,0
14,0,0,0,67,26,20,0,0
15,0,0,0,54,27,5,0,0
16,0,0,0,61,27,2,0,0
17,0,0,0,61,31,6,0,0
18,0,0,0,60,32,4,0,0
19,0,0,0,66,34,9,0,0
20,0,0,0,65,26,12,0,0
21,0,0,0,62,25,11,0,0
22,0,0,0,62,26,9,0,0
23,0,0,0,61,25,12,0,0
24,0,0,0,60,23,14,0,0
25,0,0,0,54,34,1,0,0
26,0,0,0,55,26,8,0,0
27,0,0,0,65,28,8,0,0
28,0,0,0,54,35,5,0,0
29,0,0,0,62,20,23,0,0
30,0,0,0,62,30,7,0,0
31,0,0,0,56,36,3,0,0
32,0,0,0,57,19,22,0,0
33,0,0,0,55,26,4,0,0
34,0,0,0,55,27,6,0,0
35,0,0,0,49,21,11,0,0
36,0,0,0,53,18,20,0,0
37,0,0,0,69,29,13,0,0
38,0,0,0,58,24,6,0,0
39,0,0,0,50,22,8,0,0
40,0,0,0,59,27,11,0,0
41,0,0,0,55,29,1,0,0
42,0,0,0,59,35,2,0,0
43,0,0,0,61,31,5,0,0
44,0,0,0,63,30,8,0,0
45,0,0,0,70,25,17,0,0
46,0,0,0,55,30,11,0,0
47,0,0,0,63,28,10,0,0
48,0,0,0,55,25,10,0,0
49,0,0,0,60,21,10,0,0
