QueryHitId, Hops, Seconds
1,6,0.0294336
2,6,0.0294336
3,6,0.0295136
4,7,0.0336896
5,7,0.0336896
6,7,0.0337888
7,7,0.0338464
8,7,0.033952
9,7,0.0339904
10,7,0.034096
11,7,0.0343584
12,7,0.0346208
13,8,0.0379584
14,8,0.0380384
15,8,0.0381184
16,8,0.0381216
17,8,0.0381984
18,8,0.0382336
19,8,0.0382336
20,8,0.0382784
21,8,0.0383584
22,8,0.0383712
23,8,0.0383712
24,8,0.0384384
25,8,0.0385088
26,8,0.0385088
27,8,0.0386272
28,8,0.0386464
29,8,0.0387136
30,8,0.0388
31,8,0.0389216
32,9,0.04224
33,9,0.0423328
34,9,0.042384
35,9,0.0424128
36,9,0.0424928
37,9,0.042528
38,9,0.0425728
39,9,0.0426528
40,9,0.042672
41,9,0.0427328
42,9,0.042752
43,9,0.042816
44,9,0.042816
45,9,0.042832
46,9,0.0429152
47,9,0.04296
48,9,0.04296
49,9,0.0430016
50,9,0.043104
51,9,0.043104
52,9,0.0432032
53,9,0.043248
54,9,0.0433472
55,9,0.043392
56,9,0.0434464
57,9,0.043536
58,9,0.04368
59,9,0.043824
