nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,20,20,20,0,0,57,114,normalized_flood,20,3_regular
1,0,0,26,15,9,0,0,normalized_flood,20,3_regular
2,0,0,74,62,11,0,0,normalized_flood,20,3_regular
3,0,0,52,44,7,0,0,normalized_flood,20,3_regular
4,20,0,20,0,20,0,0,normalized_flood,20,3_regular
5,0,0,68,63,5,0,0,normalized_flood,20,3_regular
6,0,0,37,31,6,0,0,normalized_flood,20,3_regular
7,0,0,47,37,10,0,0,normalized_flood,20,3_regular
8,0,0,27,14,9,0,0,normalized_flood,20,3_regular
9,0,0,47,42,3,0,0,normalized_flood,20,3_regular
10,0,0,30,19,7,0,0,normalized_flood,20,3_regular
11,0,0,45,33,8,0,0,normalized_flood,20,3_regular
12,0,0,28,21,4,0,0,normalized_flood,20,3_regular
13,0,0,38,31,5,0,0,normalized_flood,20,3_regular
14,0,0,28,17,9,0,0,normalized_flood,20,3_regular
15,0,0,46,41,2,0,0,normalized_flood,20,3_regular
16,0,0,26,18,7,0,0,normalized_flood,20,3_regular
17,0,0,48,42,3,0,0,normalized_flood,20,3_regular
18,0,0,62,51,8,0,0,normalized_flood,20,3_regular
19,0,0,26,20,4,0,0,normalized_flood,20,3_regular
