nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,17,16,17,0,0,84,168,random_walk,30,3_regular
1,0,0,19,11,6,0,0,random_walk,30,3_regular
2,0,0,55,49,5,0,0,random_walk,30,3_regular
3,0,0,20,19,1,0,0,random_walk,30,3_regular
4,0,0,20,11,6,0,0,random_walk,30,3_regular
5,0,0,100,93,6,0,0,random_walk,30,3_regular
6,0,0,50,35,4,0,0,random_walk,30,3_regular
7,0,0,25,14,7,0,0,random_walk,30,3_regular
8,0,0,21,15,3,0,0,random_walk,30,3_regular
9,0,0,52,42,2,0,0,random_walk,30,3_regular
10,0,0,38,32,1,0,0,random_walk,30,3_regular
11,0,0,26,18,5,0,0,random_walk,30,3_regular
12,0,0,101,95,5,0,0,random_walk,30,3_regular
13,0,0,52,43,4,0,0,random_walk,30,3_regular
14,0,0,25,18,6,0,0,random_walk,30,3_regular
15,0,0,24,19,3,0,0,random_walk,30,3_regular
16,0,0,60,50,6,0,0,random_walk,30,3_regular
17,0,0,37,32,3,0,0,random_walk,30,3_regular
18,17,0,17,0,17,0,0,random_walk,30,3_regular
19,0,0,13,10,1,0,0,random_walk,30,3_regular
20,0,0,25,18,5,0,0,random_walk,30,3_regular
21,0,0,49,33,6,0,0,random_walk,30,3_regular
22,0,0,67,56,5,0,0,random_walk,30,3_regular
23,0,0,24,17,5,0,0,random_walk,30,3_regular
24,0,0,10,7,1,0,0,random_walk,30,3_regular
25,0,0,14,9,2,0,0,random_walk,30,3_regular
26,0,0,29,25,4,0,0,random_walk,30,3_regular
27,0,0,34,20,7,0,0,random_walk,30,3_regular
28,0,0,73,64,7,0,0,random_walk,30,3_regular
29,0,0,30,20,6,0,0,random_walk,30,3_regular
