nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,18,18,18,0,0,70,140,normalized_flood,50,3_regular
1,0,0,50,42,5,0,0,normalized_flood,50,3_regular
2,0,0,30,25,3,0,0,normalized_flood,50,3_regular
3,0,0,11,6,2,0,0,normalized_flood,50,3_regular
4,0,0,20,12,6,0,0,normalized_flood,50,3_regular
5,0,0,70,63,7,0,0,normalized_flood,50,3_regular
6,0,0,57,48,8,0,0,normalized_flood,50,3_regular
7,0,0,25,22,1,0,0,normalized_flood,50,3_regular
8,0,0,48,46,2,0,0,normalized_flood,50,3_regular
9,18,0,18,0,18,0,0,normalized_flood,50,3_regular
10,0,0,26,22,2,0,0,normalized_flood,50,3_regular
11,0,0,22,19,2,0,0,normalized_flood,50,3_regular
12,0,0,18,10,7,0,0,normalized_flood,50,3_regular
13,0,0,26,21,4,0,0,normalized_flood,50,3_regular
14,0,0,16,10,4,0,0,normalized_flood,50,3_regular
15,0,0,32,29,2,0,0,normalized_flood,50,3_regular
16,0,0,31,25,2,0,0,normalized_flood,50,3_regular
17,0,0,28,21,4,0,0,normalized_flood,50,3_regular
18,0,0,36,30,3,0,0,normalized_flood,50,3_regular
19,0,0,35,30,5,0,0,normalized_flood,50,3_regular
20,0,0,24,19,5,0,0,normalized_flood,50,3_regular
21,0,0,49,37,6,0,0,normalized_flood,50,3_regular
22,0,0,21,16,3,0,0,normalized_flood,50,3_regular
23,0,0,17,14,3,0,0,normalized_flood,50,3_regular
24,0,0,33,28,3,0,0,normalized_flood,50,3_regular
25,0,0,29,23,4,0,0,normalized_flood,50,3_regular
26,0,0,21,18,2,0,0,normalized_flood,50,3_regular
27,0,0,29,20,3,0,0,normalized_flood,50,3_regular
28,0,0,33,29,2,0,0,normalized_flood,50,3_regular
29,0,0,13,7,6,0,0,normalized_flood,50,3_regular
30,0,0,35,32,3,0,0,normalized_flood,50,3_regular
31,0,0,19,17,0,0,0,normalized_flood,50,3_regular
32,0,0,13,8,5,0,0,normalized_flood,50,3_regular
33,0,0,24,21,2,0,0,normalized_flood,50,3_regular
34,0,0,40,34,2,0,0,normalized_flood,50,3_regular
35,0,0,54,48,5,0,0,normalized_flood,50,3_regular
36,0,0,72,64,7,0,0,normalized_flood,50,3_regular
37,0,0,25,19,6,0,0,normalized_flood,50,3_regular
38,0,0,47,41,4,0,0,normalized_flood,50,3_regular
39,0,0,38,31,5,0,0,normalized_flood,50,3_regular
40,0,0,29,28,0,0,0,normalized_flood,50,3_regular
41,0,0,27,20,4,0,0,normalized_flood,50,3_regular
42,0,0,31,24,4,0,0,normalized_flood,50,3_regular
43,0,0,26,20,2,0,0,normalized_flood,50,3_regular
44,0,0,18,16,2,0,0,normalized_flood,50,3_regular
45,0,0,21,16,3,0,0,normalized_flood,50,3_regular
46,0,0,29,22,3,0,0,normalized_flood,50,3_regular
47,0,0,15,12,3,0,0,normalized_flood,50,3_regular
48,0,0,26,22,3,0,0,normalized_flood,50,3_regular
49,0,0,21,16,3,0,0,normalized_flood,50,3_regular
