nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,11,10,11,0,0,90,450,random_walk,200,5_regular
1,0,0,8,8,0,0,0,random_walk,200,5_regular
2,0,0,8,8,0,0,0,random_walk,200,5_regular
3,0,0,7,6,0,0,0,random_walk,200,5_regular
4,0,0,11,10,0,0,0,random_walk,200,5_regular
5,0,0,14,12,0,0,0,random_walk,200,5_regular
6,0,0,11,8,0,0,0,random_walk,200,5_regular
7,0,0,14,11,0,0,0,random_walk,200,5_regular
8,0,0,8,6,1,0,0,random_walk,200,5_regular
9,0,0,17,13,0,0,0,random_walk,200,5_regular
10,0,0,22,20,1,0,0,random_walk,200,5_regular
11,0,0,9,7,0,0,0,random_walk,200,5_regular
12,0,0,29,15,0,0,0,random_walk,200,5_regular
13,0,0,33,28,0,0,0,random_walk,200,5_regular
14,0,0,7,6,1,0,0,random_walk,200,5_regular
15,0,0,106,104,1,0,0,random_walk,200,5_regular
16,0,0,15,11,0,0,0,random_walk,200,5_regular
17,0,0,7,7,0,0,0,random_walk,200,5_regular
18,0,0,13,11,0,0,0,random_walk,200,5_regular
19,0,0,5,5,0,0,0,random_walk,200,5_regular
20,0,0,18,9,2,0,0,random_walk,200,5_regular
21,0,0,8,6,0,0,0,random_walk,200,5_regular
22,0,0,12,7,2,0,0,random_walk,200,5_regular
23,0,0,13,11,1,0,0,random_walk,200,5_regular
24,0,0,32,25,0,0,0,random_walk,200,5_regular
25,0,0,4,4,0,0,0,random_walk,200,5_regular
26,0,0,15,11,0,0,0,random_walk,200,5_regular
27,0,0,11,7,0,0,0,random_walk,200,5_regular
28,0,0,7,5,0,0,0,random_walk,200,5_regular
29,0,0,17,16,0,0,0,random_walk,200,5_regular
30,0,0,30,23,1,0,0,random_walk,200,5_regular
31,0,0,9,7,0,0,0,random_walk,200,5_regular
32,0,0,17,14,0,0,0,random_walk,200,5_regular
33,0,0,7,4,0,0,0,random_walk,200,5_regular
34,0,0,10,7,0,0,0,random_walk,200,5_regular
35,0,0,10,6,1,0,0,random_walk,200,5_regular
36,0,0,37,29,2,0,0,random_walk,200,5_regular
37,0,0,9,7,0,0,0,random_walk,200,5_regular
38,0,0,15,12,0,0,0,random_walk,200,5_regular
39,0,0,6,4,1,0,0,random_walk,200,5_regular
40,0,0,9,7,0,0,0,random_walk,200,5_regular
41,0,0,10,10,0,0,0,random_walk,200,5_regular
42,0,0,8,6,0,0,0,random_walk,200,5_regular
43,0,0,4,4,0,0,0,random_walk,200,5_regular
44,0,0,8,7,0,0,0,random_walk,200,5_regular
45,0,0,9,8,0,0,0,random_walk,200,5_regular
46,0,0,27,25,0,0,0,random_walk,200,5_regular
47,0,0,12,7,2,0,0,random_walk,200,5_regular
48,0,0,8,5,0,0,0,random_walk,200,5_regular
49,0,0,11,10,0,0,0,random_walk,200,5_regular
50,0,0,17,17,0,0,0,random_walk,200,5_regular
51,0,0,13,10,0,0,0,random_walk,200,5_regular
52,0,0,4,4,0,0,0,random_walk,200,5_regular
53,0,0,16,15,0,0,0,random_walk,200,5_regular
54,0,0,11,9,0,0,0,random_walk,200,5_regular
55,0,0,12,10,0,0,0,random_walk,200,5_regular
56,0,0,8,6,1,0,0,random_walk,200,5_regular
57,0,0,9,6,0,0,0,random_walk,200,5_regular
