nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,40,20,40,0,0,20,120,flood,6,cluster
1,0,0,60,20,40,0,0,flood,6,cluster
2,40,0,40,0,40,0,0,flood,6,cluster
3,0,0,20,20,0,0,0,flood,6,cluster
4,0,0,40,20,20,0,0,flood,6,cluster
5,0,0,20,20,0,0,0,flood,6,cluster
6,0,0,40,20,0,0,0,flood,6,cluster
7,0,0,40,20,0,0,0,flood,6,cluster
8,0,0,40,20,0,0,0,flood,6,cluster
9,0,0,20,20,0,0,0,flood,6,cluster
10,0,0,40,20,0,0,0,flood,6,cluster
11,0,0,40,20,0,0,0,flood,6,cluster
12,0,0,40,20,0,0,0,flood,6,cluster
13,0,0,20,20,0,0,0,flood,6,cluster
14,0,0,40,20,0,0,0,flood,6,cluster
15,0,0,40,20,0,0,0,flood,6,cluster
16,0,0,40,20,0,0,0,flood,6,cluster
17,0,0,20,20,0,0,0,flood,6,cluster
18,0,0,40,20,0,0,0,flood,6,cluster
19,0,0,40,20,0,0,0,flood,6,cluster
20,0,0,40,20,0,0,0,flood,6,cluster
21,0,0,20,20,0,0,0,flood,6,cluster
22,0,0,40,20,0,0,0,flood,6,cluster
23,0,0,40,20,0,0,0,flood,6,cluster
24,0,0,40,20,0,0,0,flood,6,cluster
