nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,20,20,20,0,0,38,114,normalized_flood,6,cluster
1,0,0,47,27,20,0,0,normalized_flood,6,cluster
2,20,0,20,0,20,0,0,normalized_flood,6,cluster
3,0,0,21,10,7,0,0,normalized_flood,6,cluster
4,0,0,25,14,9,0,0,normalized_flood,6,cluster
5,0,0,20,20,0,0,0,normalized_flood,6,cluster
6,0,0,14,10,0,0,0,normalized_flood,6,cluster
7,0,0,17,12,0,0,0,normalized_flood,6,cluster
8,0,0,14,11,0,0,0,normalized_flood,6,cluster
9,0,0,17,17,0,0,0,normalized_flood,6,cluster
10,0,0,14,13,0,0,0,normalized_flood,6,cluster
11,0,0,10,8,0,0,0,normalized_flood,6,cluster
12,0,0,14,11,0,0,0,normalized_flood,6,cluster
13,0,0,15,15,0,0,0,normalized_flood,6,cluster
14,0,0,10,8,0,0,0,normalized_flood,6,cluster
15,0,0,11,7,0,0,0,normalized_flood,6,cluster
16,0,0,11,8,0,0,0,normalized_flood,6,cluster
17,0,0,15,15,0,0,0,normalized_flood,6,cluster
18,0,0,9,6,0,0,0,normalized_flood,6,cluster
19,0,0,11,9,0,0,0,normalized_flood,6,cluster
20,0,0,12,7,0,0,0,normalized_flood,6,cluster
21,0,0,20,20,0,0,0,normalized_flood,6,cluster
22,0,0,14,11,0,0,0,normalized_flood,6,cluster
23,0,0,15,11,0,0,0,normalized_flood,6,cluster
24,0,0,15,13,0,0,0,normalized_flood,6,cluster
