nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,6,6,6,0,0,93,93,normalized_flood,20,tree_with
1,0,0,52,46,6,0,0,normalized_flood,20,tree_with
2,0,0,47,47,0,0,0,normalized_flood,20,tree_with
3,0,0,24,24,0,0,0,normalized_flood,20,tree_with
4,0,0,28,22,6,0,0,normalized_flood,20,tree_with
5,0,0,21,21,0,0,0,normalized_flood,20,tree_with
6,0,0,26,26,0,0,0,normalized_flood,20,tree_with
7,0,0,12,6,0,0,0,normalized_flood,20,tree_with
8,0,0,12,11,0,0,0,normalized_flood,20,tree_with
9,0,0,12,6,6,0,0,normalized_flood,20,tree_with
10,0,0,16,0,0,0,0,normalized_flood,20,tree_with
11,0,0,12,0,0,0,0,normalized_flood,20,tree_with
12,0,0,9,0,0,0,0,normalized_flood,20,tree_with
13,0,0,12,0,0,0,0,normalized_flood,20,tree_with
14,0,0,14,0,0,0,0,normalized_flood,20,tree_with
15,0,0,2,0,0,0,0,normalized_flood,20,tree_with
16,0,0,4,0,0,0,0,normalized_flood,20,tree_with
17,0,0,4,0,0,0,0,normalized_flood,20,tree_with
18,0,0,7,0,0,0,0,normalized_flood,20,tree_with
19,6,0,6,0,6,0,0,normalized_flood,20,tree_with
