nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,20,20,20,0,0,40,80,flood,30,tree_with
1,0,0,40,40,0,0,0,flood,30,tree_with
2,0,0,60,40,20,0,0,flood,30,tree_with
3,0,0,40,40,0,0,0,flood,30,tree_with
4,0,0,40,40,0,0,0,flood,30,tree_with
5,0,0,40,40,0,0,0,flood,30,tree_with
6,0,0,60,40,20,0,0,flood,30,tree_with
7,0,0,40,20,0,0,0,flood,30,tree_with
8,0,0,40,20,0,0,0,flood,30,tree_with
9,0,0,40,20,0,0,0,flood,30,tree_with
10,0,0,40,20,0,0,0,flood,30,tree_with
11,0,0,40,20,0,0,0,flood,30,tree_with
12,0,0,40,20,0,0,0,flood,30,tree_with
13,0,0,40,20,0,0,0,flood,30,tree_with
14,0,0,60,20,20,0,0,flood,30,tree_with
15,0,0,20,0,0,0,0,flood,30,tree_with
16,0,0,20,0,0,0,0,flood,30,tree_with
17,0,0,20,0,0,0,0,flood,30,tree_with
18,0,0,20,0,0,0,0,flood,30,tree_with
19,0,0,20,0,0,0,0,flood,30,tree_with
20,0,0,20,0,0,0,0,flood,30,tree_with
21,0,0,20,0,0,0,0,flood,30,tree_with
22,0,0,20,0,0,0,0,flood,30,tree_with
23,0,0,20,0,0,0,0,flood,30,tree_with
24,0,0,20,0,0,0,0,flood,30,tree_with
25,0,0,20,0,0,0,0,flood,30,tree_with
26,0,0,20,0,0,0,0,flood,30,tree_with
27,0,0,20,0,0,0,0,flood,30,tree_with
28,0,0,20,0,0,0,0,flood,30,tree_with
29,20,0,20,0,20,0,0,flood,30,tree_with
