nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,20,17,20,0,0,75,225,random_walk,30,tree_with
1,0,0,95,95,0,0,0,random_walk,30,tree_with
2,0,0,150,130,20,0,0,random_walk,30,tree_with
3,0,0,38,28,0,0,0,random_walk,30,tree_with
4,0,0,57,40,0,0,0,random_walk,30,tree_with
5,0,0,71,51,0,0,0,random_walk,30,tree_with
6,0,0,79,46,20,0,0,random_walk,30,tree_with
7,0,0,10,10,0,0,0,random_walk,30,tree_with
8,0,0,18,18,0,0,0,random_walk,30,tree_with
9,0,0,17,17,0,0,0,random_walk,30,tree_with
10,0,0,23,23,0,0,0,random_walk,30,tree_with
11,0,0,32,32,0,0,0,random_walk,30,tree_with
12,0,0,19,19,0,0,0,random_walk,30,tree_with
13,0,0,26,26,0,0,0,random_walk,30,tree_with
14,0,0,40,20,20,0,0,random_walk,30,tree_with
15,0,0,7,0,0,0,0,random_walk,30,tree_with
16,0,0,3,0,0,0,0,random_walk,30,tree_with
17,0,0,10,0,0,0,0,random_walk,30,tree_with
18,0,0,8,0,0,0,0,random_walk,30,tree_with
19,0,0,9,0,0,0,0,random_walk,30,tree_with
20,0,0,8,0,0,0,0,random_walk,30,tree_with
21,0,0,8,0,0,0,0,random_walk,30,tree_with
22,0,0,15,0,0,0,0,random_walk,30,tree_with
23,0,0,14,0,0,0,0,random_walk,30,tree_with
24,0,0,18,0,0,0,0,random_walk,30,tree_with
25,0,0,11,0,0,0,0,random_walk,30,tree_with
26,0,0,8,0,0,0,0,random_walk,30,tree_with
27,0,0,14,0,0,0,0,random_walk,30,tree_with
28,0,0,12,0,0,0,0,random_walk,30,tree_with
29,20,0,20,0,20,0,0,random_walk,30,tree_with
