nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,2,2,2,0,0,98,294,normalized_flood,5,megagraph
1,0,0,46,46,0,0,0,normalized_flood,5,megagraph
2,0,0,5,5,0,0,0,normalized_flood,5,megagraph
3,0,0,5,5,0,0,0,normalized_flood,5,megagraph
4,0,0,5,5,0,0,0,normalized_flood,5,megagraph
5,0,0,6,6,0,0,0,normalized_flood,5,megagraph
6,0,0,6,5,0,0,0,normalized_flood,5,megagraph
7,0,0,5,5,0,0,0,normalized_flood,5,megagraph
8,0,0,2,2,0,0,0,normalized_flood,5,megagraph
9,0,0,2,2,0,0,0,normalized_flood,5,megagraph
10,0,0,2,2,0,0,0,normalized_flood,5,megagraph
11,0,0,6,6,0,0,0,normalized_flood,5,megagraph
12,0,0,5,5,0,0,0,normalized_flood,5,megagraph
13,0,0,6,5,0,0,0,normalized_flood,5,megagraph
14,0,0,8,8,0,0,0,normalized_flood,5,megagraph
15,0,0,7,7,0,0,0,normalized_flood,5,megagraph
16,0,0,8,7,0,0,0,normalized_flood,5,megagraph
17,0,0,7,7,0,0,0,normalized_flood,5,megagraph
18,0,0,7,7,0,0,0,normalized_flood,5,megagraph
19,0,0,7,7,0,0,0,normalized_flood,5,megagraph
20,0,0,4,4,0,0,0,normalized_flood,5,megagraph
21,0,0,4,2,0,0,0,normalized_flood,5,megagraph
22,0,0,2,2,0,0,0,normalized_flood,5,megagraph
23,0,0,1,1,0,0,0,normalized_flood,5,megagraph
24,0,0,1,1,0,0,0,normalized_flood,5,megagraph
25,0,0,1,1,0,0,0,normalized_flood,5,megagraph
26,0,0,2,2,0,0,0,normalized_flood,5,megagraph
27,0,0,2,2,0,0,0,normalized_flood,5,megagraph
28,0,0,2,2,0,0,0,normalized_flood,5,megagraph
29,0,0,5,5,0,0,0,normalized_flood,5,megagraph
30,0,0,4,3,0,0,0,normalized_flood,5,megagraph
31,0,0,4,3,0,0,0,normalized_flood,5,megagraph
32,0,0,51,49,2,0,0,normalized_flood,5,megagraph
33,0,0,5,5,0,0,0,normalized_flood,5,megagraph
34,0,0,4,3,0,0,0,normalized_flood,5,megagraph
35,0,0,4,3,0,0,0,normalized_flood,5,megagraph
36,0,0,4,4,0,0,0,normalized_flood,5,megagraph
37,0,0,4,4,0,0,0,normalized_flood,5,megagraph
38,0,0,4,4,0,0,0,normalized_flood,5,megagraph
39,0,0,1,1,0,0,0,normalized_flood,5,megagraph
40,0,0,1,0,0,0,0,normalized_flood,5,megagraph
41,0,0,0,0,0,0,0,normalized_flood,5,megagraph
42,0,0,7,7,0,0,0,normalized_flood,5,megagraph
43,0,0,7,6,0,0,0,normalized_flood,5,megagraph
44,0,0,6,6,0,0,0,normalized_flood,5,megagraph
45,0,0,1,1,0,0,0,normalized_flood,5,megagraph
46,0,0,1,1,0,0,0,normalized_flood,5,megagraph
47,0,0,1,1,0,0,0,normalized_flood,5,megagraph
48,0,0,4,4,0,0,0,normalized_flood,5,megagraph
49,0,0,3,3,0,0,0,normalized_flood,5,megagraph
50,0,0,4,3,0,0,0,normalized_flood,5,megagraph
51,0,0,4,2,2,0,0,normalized_flood,5,megagraph
52,2,0,2,0,2,0,0,normalized_flood,5,megagraph
53,0,0,0,0,0,0,0,normalized_flood,5,megagraph
54,0,0,6,6,0,0,0,normalized_flood,5,megagraph
55,0,0,6,5,0,0,0,normalized_flood,5,megagraph
56,0,0,5,5,0,0,0,normalized_flood,5,megagraph
57,0,0,10,10,0,0,0,normalized_flood,5,megagraph
58,0,0,9,8,0,0,0,normalized_flood,5,megagraph
59,0,0,9,8,0,0,0,normalized_flood,5,megagraph
60,0,0,3,3,0,0,0,normalized_flood,5,megagraph
61,0,0,2,2,0,0,0,normalized_flood,5,megagraph
62,0,0,3,2,0,0,0,normalized_flood,5,megagraph
63,0,0,6,6,0,0,0,normalized_flood,5,megagraph
64,0,0,5,4,0,0,0,normalized_flood,5,megagraph
65,0,0,5,4,0,0,0,normalized_flood,5,megagraph
66,0,0,54,54,0,0,0,normalized_flood,5,megagraph
67,0,0,7,7,0,0,0,normalized_flood,5,megagraph
68,0,0,6,5,0,0,0,normalized_flood,5,megagraph
69,0,0,6,5,0,0,0,normalized_flood,5,megagraph
70,0,0,6,6,0,0,0,normalized_flood,5,megagraph
71,0,0,6,6,0,0,0,normalized_flood,5,megagraph
72,0,0,6,6,0,0,0,normalized_flood,5,megagraph
73,0,0,6,6,0,0,0,normalized_flood,5,megagraph
74,0,0,5,5,0,0,0,normalized_flood,5,megagraph
75,0,0,6,5,0,0,0,normalized_flood,5,megagraph
76,0,0,7,7,0,0,0,normalized_flood,5,megagraph
77,0,0,6,6,0,0,0,normalized_flood,5,megagraph
78,0,0,7,6,0,0,0,normalized_flood,5,megagraph
79,0,0,6,6,0,0,0,normalized_flood,5,megagraph
80,0,0,5,5,0,0,0,normalized_flood,5,megagraph
81,0,0,6,5,0,0,0,normalized_flood,5,megagraph
82,0,0,3,3,0,0,0,normalized_flood,5,megagraph
83,0,0,3,3,0,0,0,normalized_flood,5,megagraph
84,0,0,3,3,0,0,0,normalized_flood,5,megagraph
85,0,0,3,3,0,0,0,normalized_flood,5,megagraph
86,0,0,2,2,0,0,0,normalized_flood,5,megagraph
87,0,0,3,2,0,0,0,normalized_flood,5,megagraph
88,0,0,4,4,0,0,0,normalized_flood,5,megagraph
89,0,0,4,4,0,0,0,normalized_flood,5,megagraph
90,0,0,4,4,0,0,0,normalized_flood,5,megagraph
91,0,0,3,3,0,0,0,normalized_flood,5,megagraph
92,0,0,2,2,0,0,0,normalized_flood,5,megagraph
93,0,0,3,2,0,0,0,normalized_flood,5,megagraph
94,0,0,6,6,0,0,0,normalized_flood,5,megagraph
95,0,0,6,6,0,0,0,normalized_flood,5,megagraph
96,0,0,6,6,0,0,0,normalized_flood,5,megagraph
97,0,0,0,0,0,0,0,normalized_flood,5,megagraph
98,0,0,0,0,0,0,0,normalized_flood,5,megagraph
99,0,0,0,0,0,0,0,normalized_flood,5,megagraph
100,0,0,3,3,0,0,0,normalized_flood,5,megagraph
101,0,0,3,2,0,0,0,normalized_flood,5,megagraph
102,0,0,2,2,0,0,0,normalized_flood,5,megagraph
103,0,0,48,48,0,0,0,normalized_flood,5,megagraph
104,0,0,7,7,0,0,0,normalized_flood,5,megagraph
105,0,0,7,7,0,0,0,normalized_flood,5,megagraph
106,0,0,7,7,0,0,0,normalized_flood,5,megagraph
107,0,0,4,4,0,0,0,normalized_flood,5,megagraph
108,0,0,3,2,0,0,0,normalized_flood,5,megagraph
109,0,0,3,2,0,0,0,normalized_flood,5,megagraph
110,0,0,3,3,0,0,0,normalized_flood,5,megagraph
111,0,0,3,3,0,0,0,normalized_flood,5,megagraph
112,0,0,3,3,0,0,0,normalized_flood,5,megagraph
113,0,0,4,4,0,0,0,normalized_flood,5,megagraph
114,0,0,4,4,0,0,0,normalized_flood,5,megagraph
115,0,0,4,4,0,0,0,normalized_flood,5,megagraph
116,0,0,4,4,0,0,0,normalized_flood,5,megagraph
117,0,0,1,0,0,0,0,normalized_flood,5,megagraph
118,0,0,3,0,0,0,0,normalized_flood,5,megagraph
119,0,0,4,4,0,0,0,normalized_flood,5,megagraph
120,0,0,4,3,0,0,0,normalized_flood,5,megagraph
121,0,0,3,3,0,0,0,normalized_flood,5,megagraph
122,0,0,1,1,0,0,0,normalized_flood,5,megagraph
123,0,0,1,1,0,0,0,normalized_flood,5,megagraph
124,0,0,1,1,0,0,0,normalized_flood,5,megagraph
125,0,0,3,3,0,0,0,normalized_flood,5,megagraph
126,0,0,3,1,0,0,0,normalized_flood,5,megagraph
127,0,0,1,1,0,0,0,normalized_flood,5,megagraph
128,0,0,3,3,0,0,0,normalized_flood,5,megagraph
129,0,0,3,3,0,0,0,normalized_flood,5,megagraph
130,0,0,3,3,0,0,0,normalized_flood,5,megagraph
131,0,0,7,7,0,0,0,normalized_flood,5,megagraph
132,0,0,6,6,0,0,0,normalized_flood,5,megagraph
133,0,0,7,6,0,0,0,normalized_flood,5,megagraph
134,0,0,3,3,0,0,0,normalized_flood,5,megagraph
135,0,0,3,2,0,0,0,normalized_flood,5,megagraph
136,0,0,2,2,0,0,0,normalized_flood,5,megagraph
137,0,0,3,3,0,0,0,normalized_flood,5,megagraph
138,0,0,3,3,0,0,0,normalized_flood,5,megagraph
139,0,0,3,3,0,0,0,normalized_flood,5,megagraph
140,0,0,2,2,0,0,0,normalized_flood,5,megagraph
141,0,0,2,2,0,0,0,normalized_flood,5,megagraph
142,0,0,2,2,0,0,0,normalized_flood,5,megagraph
143,0,0,53,53,0,0,0,normalized_flood,5,megagraph
144,0,0,3,3,0,0,0,normalized_flood,5,megagraph
145,0,0,3,3,0,0,0,normalized_flood,5,megagraph
146,0,0,3,3,0,0,0,normalized_flood,5,megagraph
147,0,0,6,6,0,0,0,normalized_flood,5,megagraph
148,0,0,4,4,0,0,0,normalized_flood,5,megagraph
149,0,0,6,4,0,0,0,normalized_flood,5,megagraph
150,0,0,4,4,0,0,0,normalized_flood,5,megagraph
151,0,0,3,2,0,0,0,normalized_flood,5,megagraph
152,0,0,3,2,0,0,0,normalized_flood,5,megagraph
153,0,0,5,5,0,0,0,normalized_flood,5,megagraph
154,0,0,5,5,0,0,0,normalized_flood,5,megagraph
155,0,0,5,5,0,0,0,normalized_flood,5,megagraph
156,0,0,4,4,0,0,0,normalized_flood,5,megagraph
157,0,0,3,3,0,0,0,normalized_flood,5,megagraph
158,0,0,4,3,0,0,0,normalized_flood,5,megagraph
159,0,0,3,3,0,0,0,normalized_flood,5,megagraph
160,0,0,2,2,0,0,0,normalized_flood,5,megagraph
161,0,0,3,2,0,0,0,normalized_flood,5,megagraph
162,0,0,1,1,0,0,0,normalized_flood,5,megagraph
163,0,0,1,1,0,0,0,normalized_flood,5,megagraph
164,0,0,1,1,0,0,0,normalized_flood,5,megagraph
165,0,0,4,4,0,0,0,normalized_flood,5,megagraph
166,0,0,3,3,0,0,0,normalized_flood,5,megagraph
167,0,0,4,3,0,0,0,normalized_flood,5,megagraph
168,0,0,6,6,0,0,0,normalized_flood,5,megagraph
169,0,0,4,4,0,0,0,normalized_flood,5,megagraph
170,0,0,6,4,0,0,0,normalized_flood,5,megagraph
171,0,0,4,4,0,0,0,normalized_flood,5,megagraph
172,0,0,1,1,0,0,0,normalized_flood,5,megagraph
173,0,0,4,1,0,0,0,normalized_flood,5,megagraph
174,0,0,6,6,0,0,0,normalized_flood,5,megagraph
175,0,0,6,5,0,0,0,normalized_flood,5,megagraph
176,0,0,5,5,0,0,0,normalized_flood,5,megagraph
177,0,0,5,5,0,0,0,normalized_flood,5,megagraph
178,0,0,5,5,0,0,0,normalized_flood,5,megagraph
179,0,0,5,5,0,0,0,normalized_flood,5,megagraph
180,0,0,2,2,0,0,0,normalized_flood,5,megagraph
181,0,0,1,1,0,0,0,normalized_flood,5,megagraph
182,0,0,2,1,0,0,0,normalized_flood,5,megagraph
183,0,0,0,0,0,0,0,normalized_flood,5,megagraph
184,0,0,0,0,0,0,0,normalized_flood,5,megagraph
185,0,0,0,0,0,0,0,normalized_flood,5,megagraph
186,0,0,44,44,0,0,0,normalized_flood,5,megagraph
187,0,0,4,4,0,0,0,normalized_flood,5,megagraph
188,0,0,2,2,0,0,0,normalized_flood,5,megagraph
189,0,0,4,2,0,0,0,normalized_flood,5,megagraph
190,0,0,4,4,0,0,0,normalized_flood,5,megagraph
191,0,0,3,3,0,0,0,normalized_flood,5,megagraph
192,0,0,4,3,0,0,0,normalized_flood,5,megagraph
193,0,0,0,0,0,0,0,normalized_flood,5,megagraph
194,0,0,0,0,0,0,0,normalized_flood,5,megagraph
195,0,0,0,0,0,0,0,normalized_flood,5,megagraph
196,0,0,5,5,0,0,0,normalized_flood,5,megagraph
197,0,0,5,4,0,0,0,normalized_flood,5,megagraph
198,0,0,4,4,0,0,0,normalized_flood,5,megagraph
199,0,0,1,1,0,0,0,normalized_flood,5,megagraph
200,0,0,1,1,0,0,0,normalized_flood,5,megagraph
201,0,0,1,1,0,0,0,normalized_flood,5,megagraph
