nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,13,13,13,0,0,67,134,random_walk,20,tree_with
1,0,0,82,69,13,0,0,random_walk,20,tree_with
2,0,0,65,65,0,0,0,random_walk,20,tree_with
3,0,0,33,22,0,0,0,random_walk,20,tree_with
4,0,0,49,22,13,0,0,random_walk,20,tree_with
5,0,0,37,29,0,0,0,random_walk,20,tree_with
6,0,0,28,21,0,0,0,random_walk,20,tree_with
7,0,0,14,14,0,0,0,random_walk,20,tree_with
8,0,0,8,8,0,0,0,random_walk,20,tree_with
9,0,0,26,13,13,0,0,random_walk,20,tree_with
10,0,0,9,0,0,0,0,random_walk,20,tree_with
11,0,0,16,0,0,0,0,random_walk,20,tree_with
12,0,0,13,0,0,0,0,random_walk,20,tree_with
13,0,0,8,0,0,0,0,random_walk,20,tree_with
14,0,0,13,0,0,0,0,random_walk,20,tree_with
15,0,0,8,0,0,0,0,random_walk,20,tree_with
16,0,0,6,0,0,0,0,random_walk,20,tree_with
17,0,0,4,0,0,0,0,random_walk,20,tree_with
18,0,0,4,0,0,0,0,random_walk,20,tree_with
19,13,0,13,0,13,0,0,random_walk,20,tree_with
