nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,2,2,2,0,0,96,96,normalized_flood,70,tree_with
1,0,0,51,49,2,0,0,normalized_flood,70,tree_with
2,0,0,47,47,0,0,0,normalized_flood,70,tree_with
3,0,0,25,23,2,0,0,normalized_flood,70,tree_with
4,0,0,26,26,0,0,0,normalized_flood,70,tree_with
5,0,0,30,30,0,0,0,normalized_flood,70,tree_with
6,0,0,17,17,0,0,0,normalized_flood,70,tree_with
7,0,0,15,10,2,0,0,normalized_flood,70,tree_with
8,0,0,10,8,0,0,0,normalized_flood,70,tree_with
9,0,0,10,9,0,0,0,normalized_flood,70,tree_with
10,0,0,16,15,0,0,0,normalized_flood,70,tree_with
11,0,0,14,9,0,0,0,normalized_flood,70,tree_with
12,0,0,16,10,0,0,0,normalized_flood,70,tree_with
13,0,0,7,5,0,0,0,normalized_flood,70,tree_with
14,0,0,10,10,0,0,0,normalized_flood,70,tree_with
15,0,0,4,4,0,0,0,normalized_flood,70,tree_with
16,0,0,8,6,2,0,0,normalized_flood,70,tree_with
17,0,0,4,4,0,0,0,normalized_flood,70,tree_with
18,0,0,4,4,0,0,0,normalized_flood,70,tree_with
19,0,0,4,4,0,0,0,normalized_flood,70,tree_with
20,0,0,5,5,0,0,0,normalized_flood,70,tree_with
21,0,0,6,6,0,0,0,normalized_flood,70,tree_with
22,0,0,9,9,0,0,0,normalized_flood,70,tree_with
23,0,0,3,3,0,0,0,normalized_flood,70,tree_with
24,0,0,6,6,0,0,0,normalized_flood,70,tree_with
25,0,0,6,6,0,0,0,normalized_flood,70,tree_with
26,0,0,4,4,0,0,0,normalized_flood,70,tree_with
27,0,0,2,2,0,0,0,normalized_flood,70,tree_with
28,0,0,3,3,0,0,0,normalized_flood,70,tree_with
29,0,0,5,5,0,0,0,normalized_flood,70,tree_with
30,0,0,5,5,0,0,0,normalized_flood,70,tree_with
31,0,0,2,2,0,0,0,normalized_flood,70,tree_with
32,0,0,2,2,0,0,0,normalized_flood,70,tree_with
33,0,0,4,4,0,0,0,normalized_flood,70,tree_with
34,0,0,4,2,2,0,0,normalized_flood,70,tree_with
35,0,0,3,0,0,0,0,normalized_flood,70,tree_with
36,0,0,1,0,0,0,0,normalized_flood,70,tree_with
37,0,0,1,0,0,0,0,normalized_flood,70,tree_with
38,0,0,3,0,0,0,0,normalized_flood,70,tree_with
39,0,0,1,0,0,0,0,normalized_flood,70,tree_with
40,0,0,3,0,0,0,0,normalized_flood,70,tree_with
41,0,0,0,0,0,0,0,normalized_flood,70,tree_with
42,0,0,5,0,0,0,0,normalized_flood,70,tree_with
43,0,0,3,0,0,0,0,normalized_flood,70,tree_with
44,0,0,3,0,0,0,0,normalized_flood,70,tree_with
45,0,0,3,0,0,0,0,normalized_flood,70,tree_with
46,0,0,6,0,0,0,0,normalized_flood,70,tree_with
47,0,0,1,0,0,0,0,normalized_flood,70,tree_with
48,0,0,2,0,0,0,0,normalized_flood,70,tree_with
49,0,0,5,0,0,0,0,normalized_flood,70,tree_with
50,0,0,1,0,0,0,0,normalized_flood,70,tree_with
51,0,0,4,0,0,0,0,normalized_flood,70,tree_with
52,0,0,2,0,0,0,0,normalized_flood,70,tree_with
53,0,0,2,0,0,0,0,normalized_flood,70,tree_with
54,0,0,2,0,0,0,0,normalized_flood,70,tree_with
55,0,0,0,0,0,0,0,normalized_flood,70,tree_with
56,0,0,2,0,0,0,0,normalized_flood,70,tree_with
57,0,0,3,0,0,0,0,normalized_flood,70,tree_with
58,0,0,0,0,0,0,0,normalized_flood,70,tree_with
59,0,0,3,0,0,0,0,normalized_flood,70,tree_with
60,0,0,2,0,0,0,0,normalized_flood,70,tree_with
61,0,0,2,0,0,0,0,normalized_flood,70,tree_with
62,0,0,3,0,0,0,0,normalized_flood,70,tree_with
63,0,0,2,0,0,0,0,normalized_flood,70,tree_with
64,0,0,0,0,0,0,0,normalized_flood,70,tree_with
65,0,0,2,0,0,0,0,normalized_flood,70,tree_with
66,0,0,0,0,0,0,0,normalized_flood,70,tree_with
67,0,0,3,0,0,0,0,normalized_flood,70,tree_with
68,0,0,1,0,0,0,0,normalized_flood,70,tree_with
69,2,0,2,0,2,0,0,normalized_flood,70,tree_with
