Topology,Algorithm,Average Tried Requests,Average Unique Query Hits,Average Success Rate,Redundant Query Hits,Average Hops,Average Latency,Average Total Work,Average Wasted Requests,Average Query Hit Efficiency,Count of Zero Work Done Nodes
3_regular_10_nodes-all,F,2.0,1.0,100%,0%,1.0,8.28×10⁻³,16.0,12%,12%,0.0
3_regular_10_nodes-all,NF,2.9,1.1,100%,0%,1.4,9.94×10⁻³,18.6,22%,16%,2.7
3_regular_10_nodes-all,RW,3.2,1.1,100%,5%,1.1,8.89×10⁻³,18.1,21%,11%,2.8
3_regular_10_nodes-disabled,F,2.0,1.0,100%,0%,1.0,8.38×10⁻³,14.0,12%,12%,0.0
3_regular_10_nodes-disabled,NF,2.8,1.0,100%,0%,1.1,8.84×10⁻³,13.4,17%,11%,1.9
3_regular_10_nodes-disabled,RW,3.4,0.8,80%,5%,1.2,9.08×10⁻³,16.6,18%,9%,1.9
3_regular_20_nodes-all,F,1.0,2.0,100%,0%,4.0,2.08×10⁻²,60.0,47%,44%,0.0
3_regular_20_nodes-all,NF,2.9,1.0,90%,0%,5.8,2.90×10⁻²,73.7,53%,21%,3.0
3_regular_20_nodes-all,RW,3.5,0.9,85%,0%,5.2,2.66×10⁻²,68.9,49%,17%,4.1
3_regular_20_nodes-disabled,F,1.0,1.0,100%,0%,4.0,2.08×10⁻²,35.0,50%,22%,0.0
3_regular_20_nodes-disabled,NF,3.5,0.6,60%,0%,4.9,2.57×10⁻²,47.4,39%,13%,4.2
3_regular_20_nodes-disabled,RW,3.8,0.7,70%,0%,4.8,2.48×10⁻²,52.2,39%,11%,3.9
3_regular_30_nodes-all,F,1.0,1.0,100%,0%,4.0,2.09×10⁻²,53.0,48%,14%,4.0
3_regular_30_nodes-all,NF,3.2,1.2,95%,0%,9.1,4.19×10⁻²,114.0,45%,24%,6.2
3_regular_30_nodes-all,RW,4.2,0.8,75%,2%,7.2,3.39×10⁻²,104.5,52%,13%,6.7
3_regular_30_nodes-disabled,F,1.0,1.0,100%,0%,4.0,2.09×10⁻²,46.0,41%,14%,3.0
3_regular_30_nodes-disabled,NF,4.2,0.6,55%,0%,5.3,2.62×10⁻²,76.5,42%,6%,7.6
3_regular_30_nodes-disabled,RW,4.5,0.3,30%,0%,5.7,2.77×10⁻²,76.0,40%,3%,8.3
3_regular_40_nodes-all,F,1.0,1.0,100%,0%,4.0,2.10×10⁻²,72.0,53%,10%,6.0
3_regular_40_nodes-all,NF,3.0,1.0,95%,0%,7.3,3.52×10⁻²,98.5,42%,12%,15.2
3_regular_40_nodes-all,RW,3.8,0.8,80%,0%,6.2,3.04×10⁻²,91.5,40%,9%,16.2
3_regular_40_nodes-disabled,F,1.0,1.0,100%,0%,4.0,2.10×10⁻²,66.0,51%,10%,6.0
3_regular_40_nodes-disabled,NF,3.6,0.8,70%,0%,7.6,3.61×10⁻²,92.4,46%,12%,13.2
3_regular_40_nodes-disabled,RW,4.3,0.7,65%,0%,6.2,2.98×10⁻²,84.0,44%,7%,13.9
3_regular_50_nodes-all,F,2.0,2.0,100%,33%,7.0,3.40×10⁻²,323.0,63%,20%,0.0
3_regular_50_nodes-all,NF,3.5,0.9,80%,0%,9.6,4.48×10⁻²,141.8,50%,11%,14.9
3_regular_50_nodes-all,RW,4.3,1.0,80%,0%,8.5,3.98×10⁻²,301.6,66%,8%,5.7
3_regular_50_nodes-disabled,F,2.0,1.0,100%,0%,6.0,2.93×10⁻²,166.0,59%,7%,0.0
3_regular_50_nodes-disabled,NF,4.8,0.2,25%,0%,9.4,4.41×10⁻²,94.8,42%,2%,15.4
3_regular_50_nodes-disabled,RW,4.5,0.5,45%,0%,7.4,3.45×10⁻²,173.3,46%,4%,11.0
4_regular_200_nodes-all,F,2.0,2.0,100%,33%,5.0,2.52×10⁻²,1037.0,58%,5%,0.0
4_regular_200_nodes-all,NF,4.2,0.6,55%,0%,2.8,1.56×10⁻²,149.8,26%,0%,139.2
4_regular_200_nodes-all,RW,3.8,0.8,75%,2%,2.9,1.63×10⁻²,190.9,23%,0%,138.5
4_regular_200_nodes-disabled,F,2.0,1.0,100%,0%,4.0,2.08×10⁻²,376.0,53%,1%,7.0
4_regular_200_nodes-disabled,NF,5.0,0.1,5%,0%,2.0,1.21×10⁻²,48.0,8%,0%,140.3
4_regular_200_nodes-disabled,RW,4.3,0.5,50%,0%,2.0,1.27×10⁻²,84.8,9%,0%,136.2
5_regular_200_nodes-all,F,2.0,5.0,100%,79%,6.0,2.96×10⁻²,7008.0,45%,7%,0.0
5_regular_200_nodes-all,NF,4.3,0.6,50%,0%,8.2,3.80×10⁻²,267.4,41%,1%,104.8
5_regular_200_nodes-all,RW,4.5,0.5,40%,1%,5.2,2.59×10⁻²,278.4,36%,1%,108.6
5_regular_200_nodes-disabled,F,2.0,3.0,100%,76%,5.9,2.90×10⁻²,1896.0,43%,10%,0.0
5_regular_200_nodes-disabled,NF,4.7,0.1,15%,0%,5.0,2.56×10⁻²,87.8,14%,0%,126.7
5_regular_200_nodes-disabled,RW,5.0,0.1,10%,0%,8.5,4.13×10⁻²,133.3,17%,0%,117.6
cluster_6_with_10_nodes_each-all,F,1.0,1.0,100%,80%,1.8,1.17×10⁻²,340.0,25%,15%,0.0
cluster_6_with_10_nodes_each-all,NF,3.5,0.8,80%,0%,2.6,1.49×10⁻²,93.5,44%,2%,28.4
cluster_6_with_10_nodes_each-all,RW,3.8,0.7,70%,0%,2.9,1.63×10⁻²,88.4,41%,2%,29.3
